원본_지역명	수정된_시도	수정된_시군구
광양시	전라남도	전라남도 광양시
여수시	전라남도	전라남도 여수시
경상북도	경상북도	경상북도
포항시	경상북도	경상북도 포항시
남구	경상북도	경상북도 남구
북구	경상북도	경상북도 북구
구미시	경상북도	경상북도 구미시
경산시	경상북도	경상북도 경산시
안동시	경상북도	경상북도 안동시
김천시	경상북도	경상북도 김천시
경상남도	경상남도	경상남도
창원시	경상남도	경상남도 창원시
마산합포구	경상남도	경상남도 창원시 마산합포구
마산회원구	경상남도	경상남도 창원시 마산회원구
성산구	경상남도	경상남도 창원시 성산구
의창구	경상남도	경상남도 창원시 의창구
진해구	경상남도	경상남도 창원시 진해구
양산시	경상남도	경상남도 양산시
거제시	경상남도	경상남도 거제시
진주시	경상남도	경상남도 진주시
김해시	경상남도	경상남도 김해시
통영시	경상남도	경상남도 통영시
제주도	제주도	제주도
제주특별자치도	제주특별자치도	제주특별자치도
기타지방	기타지방	기타지방
